source,country,date,type,value
wikipedia,Transnistria,02-Apr-20_08:24,recovered,0
wikipedia,Colombia,02-Apr-20_08:24,cases,1065
wikipedia,Colombia,02-Apr-20_08:24,deaths,17
wikipedia,Colombia,02-Apr-20_08:24,recovered,39
wikipedia,Bolivia,02-Apr-20_08:24,cases,117
wikipedia,Bolivia,02-Apr-20_08:24,deaths,7
wikipedia,Bolivia,02-Apr-20_08:24,recovered,0
wikipedia,El Salvador,02-Apr-20_08:24,cases,41
wikipedia,El Salvador,02-Apr-20_08:24,deaths,2
wikipedia,El Salvador,02-Apr-20_08:24,recovered,0
wikipedia,Sudan,02-Apr-20_08:24,cases,7
wikipedia,Sudan,02-Apr-20_08:24,deaths,2
wikipedia,Sudan,02-Apr-20_08:24,recovered,1
wikipedia,Guam,02-Apr-20_08:24,cases,77
wikipedia,Guam,02-Apr-20_08:24,deaths,3
wikipedia,Guam,02-Apr-20_08:24,recovered,9
wikipedia,Sweden,02-Apr-20_08:24,cases,5009
wikipedia,Sweden,02-Apr-20_08:24,deaths,259
wikipedia,Sweden,02-Apr-20_08:24,recovered,103
wikipedia,Croatia,02-Apr-20_08:24,cases,963
wikipedia,Croatia,02-Apr-20_08:24,deaths,6
wikipedia,Croatia,02-Apr-20_08:24,recovered,73
wikipedia,Ukraine,02-Apr-20_08:24,cases,794
wikipedia,Ukraine,02-Apr-20_08:24,deaths,20
wikipedia,Ukraine,02-Apr-20_08:24,recovered,13
wikipedia,Kenya,02-Apr-20_08:24,cases,81
wikipedia,Kenya,02-Apr-20_08:24,deaths,1
wikipedia,Kenya,02-Apr-20_08:24,recovered,3
wikipedia,Gambia,02-Apr-20_08:24,cases,4
wikipedia,Gambia,02-Apr-20_08:24,deaths,1
wikipedia,Gambia,02-Apr-20_08:24,recovered,0
wikipedia,Palestine,02-Apr-20_08:24,cases,134
wikipedia,Palestine,02-Apr-20_08:24,deaths,1
wikipedia,Palestine,02-Apr-20_08:24,recovered,18
wikipedia,Iraq,02-Apr-20_08:24,cases,728
wikipedia,Iraq,02-Apr-20_08:24,deaths,52
wikipedia,Iraq,02-Apr-20_08:24,recovered,182
wikipedia,Canada,02-Apr-20_08:24,cases,9731
wikipedia,Canada,02-Apr-20_08:24,deaths,111
wikipedia,Canada,02-Apr-20_08:24,recovered,1541
wikipedia,Belgium,02-Apr-20_08:24,cases,13964
wikipedia,Belgium,02-Apr-20_08:24,deaths,828
wikipedia,Belgium,02-Apr-20_08:24,recovered,2132
wikipedia,United States,02-Apr-20_08:24,cases,216362
wikipedia,United States,02-Apr-20_08:24,deaths,5133
wikipedia,United States,02-Apr-20_08:24,recovered,8878
wikipedia,South Africa,02-Apr-20_08:24,cases,1380
wikipedia,South Africa,02-Apr-20_08:24,deaths,5
wikipedia,South Africa,02-Apr-20_08:24,recovered,31
wikipedia,Uzbekistan,02-Apr-20_08:24,cases,181
wikipedia,Uzbekistan,02-Apr-20_08:24,deaths,2
wikipedia,Uzbekistan,02-Apr-20_08:24,recovered,12
wikipedia,Bangladesh,02-Apr-20_08:24,cases,54
wikipedia,Bangladesh,02-Apr-20_08:24,deaths,5
wikipedia,Bangladesh,02-Apr-20_08:24,recovered,25
wikipedia,Jamaica,02-Apr-20_08:24,cases,44
wikipedia,Jamaica,02-Apr-20_08:24,deaths,3
wikipedia,Jamaica,02-Apr-20_08:24,recovered,2
wikipedia,Mexico,02-Apr-20_08:24,cases,1215
wikipedia,Mexico,02-Apr-20_08:24,deaths,29
wikipedia,Mexico,02-Apr-20_08:24,recovered,35
wikipedia,Libya,02-Apr-20_08:24,cases,10
wikipedia,Libya,02-Apr-20_08:24,deaths,0
